새누리당	headquarter	진도_(섬)	x	0.3598
세타트	largestCity	마라케시	o	0.5037
라바트	largestCity	세타트	o	0.5037
박병호_(1986년)	birthPlace	미네소타_주	x	0.28
조선로동당	headquarter	평창군	x	0.1926
서울종합운동장_야구장	tenant	대한민국_관세청	o	0.5037
임종석	deathPlace	미국	x	0.421
도널드_트럼프	deathPlace	미국	x	0.4393
김일엽_(승려)	spouse	성혜림	x	0.2531
자그레브	largestCity	바르나	o	0.5054
성녀_니노	deathPlace	아르메니아	o	0.5037
아사다_마오	deathPlace	상트페테르부르크	o	0.5037
성혜랑	spouse	성혜림	x	0.2077
성혜림	birthPlace	창녕군	o	0.5037
신사임당	parent	황진이	o	0.5037
모로코	capital	세타트	x	0.2987
김영숙_(1947년)	spouse	김정일	x	0.4483
부다페스트	capital	자그레브	x	0.4063
마라케시	largestCity	세타트	o	0.5037
자그레브	largestCity	바르샤바	o	0.5037
미국	largestCity	할리우드	o	0.5037
성혜랑	deathPlace	조선민주주의인민공화국	o	0.5037
손흥민	birthPlace	잉글랜드	o	0.5037
최고인민회의	headquarter	미국	x	0.2164
경기도	capital	서울특별시	o	0.4874
개미	family	곰개미	o	0.5037
SK텔레콤	subsidiary	SK하이닉스	o	0.5037
한진그룹	subsidiary	한진그룹	o	0.5037
롯데_자이언츠	affiliation	대한민국_관세청	x	0.1553
미국	capital	하노버	o	0.5037
레바논	largestCity	로스앤젤레스	o	0.504
세타트	largestCity	라바트	o	0.5037
독일	capital	서울특별시	o	0.4745
하이데라바드_(인도)	largestCity	세쿤데라바드	o	0.5037
엠넷	affiliation	CJ미디어	o	0.5071
손명순	spouse	이혜훈	x	0
문선명	relative	문국진	x	0.4466
이영애	spouse	박찬욱	o	0.5037
자그레브	largestCity	부다페스트	o	0.5037
세계농아인연맹	headquarter	로마	x	0.1399
정지선	parent	정몽근	o	0.5037
성혜랑	child	김정일	o	0.511
김정일	deathPlace	쿠알라룸푸르	x	0.4254
박찬욱	spouse	이영애	x	0.3428
고등학교	affiliation	세종대학교	x	0.4752
세미흐_카야	birthPlace	터키	o	0.5037
황진이	parent	신사임당	o	0.5037
미국	capital	나고야_시	o	0.4866
폴란드	capital	자그레브	x	0.3912
세르비아	ethnicGroup	유대인	o	0.5043
소피아	capital	자그레브	x	0.4184
아바나	capital	자그레브	x	0.4049
바르나	capital	자그레브	x	0.4132
신동빈	spouse	최순실	o	0.4695
통일민주당	headquarter	부산광역시	x	0.3806
모로코	largestCity	마라케시	o	0.5037
예수	deathPlace	이스라엘	o	0.5037
태진아	birthPlace	서울특별시	o	0.5037
유고슬라비아	capital	자그레브	x	0.4
곰	family	북극곰	x	0.1597
포스코	affiliation	포스코에너지	x	0.3662
문익환	relative	윤동주	x	0.4497
세쿤데라바드	largestCity	하이데라바드_(인도)	o	0.5038
유고슬라비아	capital	베오그라드	x	0.4344
일리노이_주	largestCity	일리노이_주	o	0.5037
유고슬라비아	capital	아바나	o	0.4775
불가리아	capital	자그레브	x	0.4161
유고슬라비아	capital	부다페스트	x	0.4393
윤동주	relative	문익환	x	0.2107
문화방송	headquarter	서울특별시	x	0.3278
석현준	birthPlace	데브레첸	o	0.5037
김영숙_(1947년)	spouse	김일성	o	0.4839
크로아티아	ethnicGroup	세르비아인	x	0.4409
자그레브	largestCity	소피아	x	0.4511
독일	ethnicGroup	위구르족	x	0.4561
이혜훈	spouse	손명순	x	0.4375
바르샤바	largestCity	자그레브	o	0.5073
독일	capital	부퍼탈	o	0.506
헝가리	capital	자그레브	x	0.3991
반줄	largestCity	세레쿤다	o	0.5041
페니_위드모어	spouse	소냐_왈거	x	0.4639
미국	largestCity	일리노이_주	o	0.5037
김일성	spouse	김영숙_(1947년)	o	0.5108
황진이	spouse	신사임당	x	0.4396
캘리포니아_주	largestCity	베이루트	x	0.4477
자그레브	largestCity	베오그라드	o	0.5037
네팔	ethnicGroup	한국인	o	0.5044
조선_광해군	parent	의인왕후	o	0.5037
성혜랑	spouse	김정일	x	0.4508
쿠바	capital	자그레브	x	0.3857
성혜림	deathPlace	조선민주주의인민공화국	o	0.5037
SK하이닉스	subsidiary	SK텔레콤	o	0.5037
금호아시아나그룹	subsidiary	금호고속	o	0.5037
베오그라드	capital	자그레브	x	0.4047
대한제국_고종	deathPlace	강화도	o	0.5037
영국	ethnicGroup	미국인	o	0.5037
김일성	spouse	김정일	x	0.4621
프라하_성	location	프라하	o	0.5037
이사_(법인)	isPartOf	김태한	o	0.4778
세바스티안_피녜라	occupation	정치가	o	0.5037
